"ENSG","Gene","Protein.class","Consensus.RNA.Specificity","Consensus.Enriched.Enhanced.Tissue","Consensus.Distribution","Consensus.Max","Consensus.Min","Human.brain.regional.RNA.Specificity","Human.brain.regional.Enriched.Enhanced.Tissue","Human.brain.regional.Distribution","Human.brain.regional.Max","Human.brain.regional.Min","Human.brain.domain.RNA.Specificity","Human.brain.domain.Enriched.Enhanced.Tissue","Human.brain.domain.Distribution","Human.brain.domain.Max","Human.brain.domain.Min","Human.brain.subregional.RNA.Specificity","Human.brain.subregional.Enriched.Enhanced.Tissue","Human.brain.subregional.Distribution","Human.brain.subregional.Max","Human.brain.subregional.Min","X"
"ENSG00000186895","FGF3","Cancer-related genes;Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins;RAS pathway related proteins","Tissue enriched","brain","Detected in single","13.33 - brain","0.00 - choroid plexus","Tissue enriched","cerebellum","Detected in some","7.49 - cerebellum","0.01 - choroid plexus","Tissue enriched","cerebellum","Detected in some","7.49 - cerebellum","0.01 - choroid plexus","Group enriched","cerebellar cortex;flocculonodular lobe;vermis","Detected in some","7.49 - flocculonodular lobe","0.00 - pontine raphe nucleus",NA
"ENSG00000077514","POLD3","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","41.56 - kidney","4.55 - pituitary gland","Low tissue specificity","","Detected in all","21.73 - choroid plexus","14.94 - hippocampal formation","Low tissue specificity","","Detected in all","21.73 - choroid plexus","13.72 - epithalamus","Low tissue specificity","","Detected in all","21.73 - choroid plexus","12.42 - ventrolateral medulla, A1-C1 cell groups",NA
"ENSG00000166012","TAF1D","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014)","Low tissue specificity","","Detected in all","20.15 - lymphoid tissue","4.85 - pituitary gland","Low tissue specificity","","Detected in all","38.01 - white matter","22.22 - spinal cord","Low tissue specificity","","Detected in all","38.01 - cortical white matter","17.24 - cerebellar nucleus","Low tissue specificity","","Detected in all","38.01 - somatomor cortex, precentral gyrus (white matter)","17.24 - cerebellar nuclei",NA
"ENSG00000137478","FCHSD2","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);SH3-domain containing proteins","Low tissue specificity","","Detected in all","44.88 - lymphoid tissue","6.80 - epididymis","Low tissue specificity","","Detected in all","89.48 - basal ganglia","56.16 - cerebellum","Low tissue specificity","","Detected in all","89.48 - globus pallidus","44.53 - cerebellar nucleus","Low tissue specificity","","Detected in all","89.48 - globus pallidus, internus","29.42 - precentral gyrus",NA
"ENSG00000166025","AMOTL1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","skeletal muscle","Detected in all","108.10 - skeletal muscle","1.77 - bone marrow","Low tissue specificity","","Detected in all","77.32 - thalamus","24.54 - hippocampal formation","Low tissue specificity","","Detected in all","77.32 - dorsal thalamus","16.65 - mammillary body","Low tissue specificity","","Detected in all","77.32 - ventral posterolateral thalamic nucleus","11.24 - parieto-temporal junction (white matter)",NA
"ENSG00000214414","TRIM77","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Not detected","","Not detected","0.04 - testis","0.00 - lymphoid tissue","Not detected","","Not detected","0.54 - cerebral cortex","0.01 - cerebellum","Not detected","","Not detected","0.54 - frontal cortex","0.01 - cerebellar nucleus","Not detected","","Not detected","0.54 - paracentral lobule, anterior","0.00 - ventromedial nucleus",NA
"ENSG00000166004","CEP295","Cytoskeleton related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","15.72 - bone marrow","3.83 - choroid plexus","Low tissue specificity","","Detected in all","37.30 - cerebellum","18.31 - spinal cord","Low tissue specificity","","Detected in all","37.30 - cerebellum","17.23 - cerebellar nucleus","Low tissue specificity","","Detected in all","37.30 - flocculonodular lobe","16.01 - posterior thalamic nucleus",NA
"ENSG00000184384","MAML2","Cancer related proteins;Cancer-related genes;Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","13.81 - breast","1.81 - epididymis","Low tissue specificity","","Detected in all","43.13 - cerebellum","16.25 - cerebral cortex","Low tissue specificity","","Detected in all","43.13 - cerebellum","10.20 - claustrum","Low tissue specificity","","Detected in all","43.13 - flocculonodular lobe","8.18 - somatosensory cortex, postcentral gyrus, ventral (white matter)",NA
"ENSG00000178301","AQP11","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Kim et al 2014);Transporters","Tissue enhanced","intestine;liver","Detected in many","27.87 - intestine","0.23 - tongue","Low tissue specificity","","Detected in all","12.83 - cerebellum","5.31 - choroid plexus","Low tissue specificity","","Detected in all","12.83 - cerebellum","5.31 - choroid plexus","Low tissue specificity","","Detected in all","12.83 - cerebellar cortex","5.31 - choroid plexus",NA
"ENSG00000170967","DDI1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014)","Tissue enriched","testis","Detected in single","24.80 - testis","0.00 - choroid plexus","Low tissue specificity","","Detected in some","1.89 - choroid plexus","0.13 - cerebellum","Tissue enhanced","choroid plexus","Detected in some","1.89 - choroid plexus","0.05 - mammillary body","Tissue enhanced","choroid plexus;locus coeruleus","Detected in some","1.89 - choroid plexus","0.05 - red nucleus",NA
"ENSG00000077498","TYR","Disease related genes;Enzymes;FDA approved drug targets;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Transporters","Tissue enriched","skin 1","Detected in single","30.79 - skin 1","0.00 - tongue","Not detected","","Not detected","0.16 - cerebral cortex","0.02 - choroid plexus","Not detected","","Not detected","0.16 - parietal cortex","0.01 - cerebellum","Not detected","","Not detected","0.16 - postcentral gyrus, middle","0.00 - dorsomedial nucleus",NA
"ENSG00000118113","MMP8","Cancer-related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enriched","bone marrow","Detected in some","496.83 - bone marrow","0.00 - parathyroid gland","Low tissue specificity","","Detected in single","1.61 - thalamus","0.17 - hippocampal formation","Tissue enhanced","dorsal thalamus","Detected in single","1.61 - dorsal thalamus","0.14 - paleocortex","Tissue enhanced","anterior thalamic nucleus, ventral","Detected in single","1.61 - anterior thalamic nucleus, ventral","0.00 - parahippocampal cortex (white matter)",NA
"ENSG00000077616","NAALAD2","Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","pituitary gland","Detected in many","19.41 - pituitary gland","0.17 - choroid plexus","Low tissue specificity","","Detected in all","12.77 - cerebral cortex","1.66 - choroid plexus","Low tissue specificity","","Detected in all","12.77 - occipital cortex","1.66 - choroid plexus","Low tissue specificity","","Detected in all","12.77 - occipital cortex","1.66 - choroid plexus",NA
"ENSG00000137691","CFAP300","Cytoskeleton related proteins;Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014)","Tissue enhanced","choroid plexus;fallopian tube;testis","Detected in many","29.35 - testis","0.03 - tongue","Low tissue specificity","","Detected in all","21.25 - choroid plexus","2.15 - cerebral cortex","Tissue enhanced","choroid plexus","Detected in all","21.25 - choroid plexus","1.52 - claustrum","Tissue enhanced","choroid plexus;nucleus tractus solitarii;periaquaductal grey, lateral;superior vestibular nucleus","Detected in all","21.25 - choroid plexus","1.21 - somatosensory cortex, postcentral gyrus, ventral (white matter)",NA
"ENSG00000137675","MMP27","Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enhanced","breast;salivary gland;skin 1","Detected in some","4.58 - breast","0.00 - choroid plexus","Not detected","","Not detected","0.01 - medulla oblongata","0.00 - amygdala","Not detected","","Not detected","0.01 - medulla oblongata","0.00 - amygdala","Not detected","","Not detected","0.01 - spinal trigeminal nucleus, interpolar","0.00 - hippocampus",NA
"ENSG00000165895","ARHGAP42","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);SH3-domain containing proteins","Tissue enhanced","retina","Detected in all","30.65 - retina","1.21 - pancreas","Low tissue specificity","","Detected in all","14.05 - hypothalamus","7.99 - hippocampal formation","Low tissue specificity","","Detected in all","14.05 - supraoptic hypothalamus","4.68 - cerebellum","Low tissue specificity","","Detected in all","14.05 - supraoptic nucleus","3.16 - flocculonodular lobe",NA
"ENSG00000023445","BIRC3","Cancer related proteins;Cancer-related genes;Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","intestine;lymphoid tissue","Detected in many","138.14 - lymphoid tissue","0.61 - retina","Low tissue specificity","","Detected in all","5.10 - hypothalamus","1.17 - cerebellum","Low tissue specificity","","Detected in many","5.10 - tuberal hypothalamus","0.88 - cerebellum","Low tissue specificity","","Detected in many","5.10 - arcuate nucleus","0.76 - cerebellar cortex",NA
"ENSG00000149289","ZC3H12C","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","12.67 - tongue","1.36 - choroid plexus","Low tissue specificity","","Detected in all","24.92 - medulla oblongata","15.92 - choroid plexus","Low tissue specificity","","Detected in all","24.92 - medulla oblongata","15.39 - claustrum","Low tissue specificity","","Detected in all","24.92 - area postrema","13.05 - precentral gyrus",NA
"ENSG00000086991","NOX4","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted membrane proteins;Transporters","Tissue enriched","kidney","Detected in many","133.13 - kidney","0.31 - liver","Low tissue specificity","","Detected in all","6.10 - white matter","2.38 - choroid plexus","Low tissue specificity","","Detected in all","6.10 - cortical white matter","2.15 - epithalamus","Low tissue specificity","","Detected in all","6.10 - temporal white matter","2.13 - ventromedial nucleus",NA
"ENSG00000173156","RHOD","Cytoskeleton related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014)","Tissue enhanced","esophagus;liver","Detected in many","177.15 - esophagus","0.03 - bone marrow","Tissue enriched","choroid plexus","Detected in all","33.60 - choroid plexus","1.57 - white matter","Tissue enriched","choroid plexus","Detected in many","33.60 - choroid plexus","0.78 - cerebellar white matter","Tissue enriched","choroid plexus","Detected in many","33.60 - choroid plexus","0.24 - occipital cortex (white matter)",NA
"ENSG00000179331","RAB39A","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","brain;lymphoid tissue","Detected in some","3.84 - brain","0.05 - skeletal muscle","Low tissue specificity","","Detected in all","12.71 - hypothalamus","4.05 - choroid plexus","Low tissue specificity","","Detected in all","12.71 - tuberal hypothalamus","4.05 - choroid plexus","Low tissue specificity","","Detected in all","12.71 - arcuate nucleus","4.05 - choroid plexus",NA
"ENSG00000284057","ENSG00000284057","Predicted intracellular proteins","Tissue enhanced","kidney","Detected in many","9.20 - kidney","0.03 - bone marrow","Low tissue specificity","","Detected in some","1.12 - pons","0.33 - choroid plexus","Low tissue specificity","","Detected in some","1.12 - pons","0.33 - choroid plexus","Low tissue specificity","","Detected in some","1.12 - reticular pontine nucleus, oral","0.14 - postcentral gyrus",NA
"ENSG00000042429","MED17","Cancer-related genes;Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in many","2.25 - lymphoid tissue","0.47 - choroid plexus","Low tissue specificity","","Detected in all","10.09 - cerebellum","5.18 - hippocampal formation","Low tissue specificity","","Detected in all","10.09 - cerebellum","4.50 - epithalamus","Low tissue specificity","","Detected in all","10.09 - flocculonodular lobe","4.24 - dorsal medullary reticular nucleus",NA
"ENSG00000181333","HEPHL1","Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Transporters","Group enriched","esophagus;lymphoid tissue;skin 1;vagina","Detected in some","9.33 - lymphoid tissue","0.00 - choroid plexus","Not detected","","Not detected","0.32 - cerebellum","0.06 - hippocampal formation","Not detected","","Not detected","0.32 - cerebellum","0.04 - cerebellar white matter","Not detected","","Not detected","0.32 - vermis","0.04 - dorsal funiculus (white matter)",NA
"ENSG00000214376","VSTM5","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins","Tissue enhanced","brain;placenta","Detected in some","4.67 - brain","0.00 - bone marrow","Low tissue specificity","","Detected in many","8.63 - hypothalamus","0.48 - choroid plexus","Low tissue specificity","","Detected in many","8.63 - supraoptic hypothalamus","0.48 - choroid plexus","Low tissue specificity","","Detected in many","8.63 - lateral hypothalamic area","0.48 - choroid plexus",NA
"ENSG00000168930","TRIM49","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Not detected","","Not detected","0.36 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.04 - cerebral cortex","0.01 - choroid plexus","Not detected","","Not detected","0.04 - parietal cortex","0.01 - cerebellar white matter","Not detected","","Not detected","0.04 - subcentral gyrus, S2","0.00 - periaquaductal grey, anterior",NA
